view,classificação,formulário,ação visível,mensagem/empty state,CSS responsivo centralizado
Account/ForgotPassword.cshtml,precisa refinamento,sim,sim,sim,sim
Account/Login.cshtml,bagunçada,sim,sim,sim,sim
Account/Register.cshtml,bagunçada,sim,sim,sim,sim
Account/ResetPassword.cshtml,precisa refinamento,sim,sim,sim,sim
ActionCenter/CreatePlan.cshtml,precisa refinamento,sim,sim,sim,sim
ActionCenter/Index.cshtml,boa,não,sim,sim,sim
ActionCenter/ItemDetails.cshtml,precisa refinamento,sim,sim,não,sim
ActionCenter/Items.cshtml,precisa refinamento,não,sim,não,sim
ActionCenter/PlanDetails.cshtml,precisa refinamento,não,sim,não,sim
ActionCenter/Plans.cshtml,precisa refinamento,não,sim,sim,sim
ActionPlans/Index.cshtml,precisa refinamento,sim,sim,sim,sim
AdminHub/Audit.cshtml,precisa refinamento,sim,sim,sim,sim
AdminHub/CreateOrganization.cshtml,precisa refinamento,sim,sim,sim,sim
AdminHub/CreateUser.cshtml,precisa refinamento,sim,sim,sim,sim
AdminHub/Index.cshtml,precisa refinamento,não,sim,não,sim
AdminHub/OrganizationDetails.cshtml,bagunçada,não,não,sim,sim
AdminHub/Organizations.cshtml,precisa refinamento,sim,sim,sim,sim
AdminHub/Roles.cshtml,bagunçada,não,não,não,sim
AdminHub/Settings.cshtml,bagunçada,não,não,não,sim
AdminHub/Users.cshtml,precisa refinamento,sim,sim,sim,sim
Administration/Index.cshtml,boa,não,sim,sim,sim
Administration/Module.cshtml,precisa refinamento,não,sim,sim,sim
Advisor/Index.cshtml,precisa refinamento,sim,sim,sim,sim
Advisor/List.cshtml,precisa refinamento,não,sim,sim,sim
Architecture/MissingOrganization.cshtml,precisa refinamento,não,sim,não,sim
Architecture/Studio.cshtml,precisa refinamento,sim,sim,sim,sim
AssistedOperations/Index.cshtml,precisa refinamento,sim,sim,sim,sim
Audit/Index.cshtml,bagunçada,não,não,sim,sim
Benchmarks/Cohorts.cshtml,bagunçada,sim,sim,não,sim
Benchmarks/Compare.cshtml,bagunçada,sim,sim,não,sim
Benchmarks/Index.cshtml,bagunçada,não,não,não,sim
Benchmarks/Insights.cshtml,bagunçada,não,não,não,sim
Benchmarks/NoOrganization.cshtml,bagunçada,não,não,sim,sim
Benchmarks/Privacy.cshtml,bagunçada,não,não,não,sim
Certificates/Details.cshtml,precisa refinamento,não,sim,não,sim
Certificates/Index.cshtml,boa,sim,sim,sim,sim
Certificates/Validate.cshtml,precisa refinamento,sim,sim,sim,sim
Communications/Index.cshtml,precisa refinamento,não,sim,sim,sim
Dashboard/Index.cshtml,boa,não,sim,sim,sim
DecisionCenter/Alerts.cshtml,precisa refinamento,sim,sim,sim,sim
DecisionCenter/Index.cshtml,precisa refinamento,não,sim,sim,sim
Decisions/Details.cshtml,precisa refinamento,não,sim,não,sim
Decisions/Index.cshtml,precisa refinamento,não,sim,sim,sim
Diagnostics/Workspace.cshtml,precisa refinamento,não,sim,sim,sim
Email/Jobs.cshtml,precisa refinamento,não,sim,sim,sim
Email/Status.cshtml,precisa refinamento,não,sim,sim,sim
Email/Templates.cshtml,precisa refinamento,não,sim,sim,sim
Enterprise/Index.cshtml,precisa refinamento,não,sim,sim,sim
EnvironmentStatus/Index.cshtml,precisa refinamento,não,sim,sim,sim
Evolution/Cycles.cshtml,boa,sim,sim,sim,sim
Evolution/Details.cshtml,precisa refinamento,sim,sim,não,sim
Evolution/Index.cshtml,boa,não,sim,sim,sim
Experience/Campaigns.cshtml,precisa refinamento,sim,sim,sim,sim
Experience/Cockpit.cshtml,precisa refinamento,não,sim,sim,sim
Experience/Help.cshtml,precisa refinamento,não,sim,não,sim
Experience/Templates.cshtml,precisa refinamento,não,sim,sim,sim
Exports/Index.cshtml,precisa refinamento,não,sim,sim,sim
Forms/Builder.cshtml,precisa refinamento,sim,sim,sim,sim
Forms/Index.cshtml,boa,sim,sim,sim,sim
FreeDiagnostics/Index.cshtml,precisa refinamento,sim,sim,sim,sim
Governance/CreateMeeting.cshtml,precisa refinamento,sim,sim,não,sim
Governance/CycleDetails.cshtml,bagunçada,não,não,não,sim
Governance/Cycles.cshtml,precisa refinamento,não,sim,sim,sim
Governance/Index.cshtml,precisa refinamento,não,sim,sim,sim
Governance/MeetingDetails.cshtml,bagunçada,não,não,não,sim
Governance/Meetings.cshtml,precisa refinamento,não,sim,sim,sim
Home/Error.cshtml,precisa refinamento,não,sim,não,sim
Home/Index.cshtml,precisa refinamento,não,sim,não,sim
Indicators/Alerts.cshtml,bagunçada,não,não,sim,sim
Indicators/Analytics.cshtml,bagunçada,não,não,não,sim
Indicators/Catalog.cshtml,bagunçada,não,não,não,sim
Indicators/Index.cshtml,bagunçada,não,não,não,sim
Indicators/Measurements.cshtml,bagunçada,não,não,não,sim
Indicators/MissingOrganization.cshtml,precisa refinamento,não,sim,não,sim
Indicators/Scorecards.cshtml,bagunçada,não,não,não,sim
Indicators/Targets.cshtml,bagunçada,não,não,não,sim
Insights/Details.cshtml,precisa refinamento,não,sim,não,sim
Insights/Index.cshtml,precisa refinamento,não,sim,sim,sim
Integrations/Index.cshtml,precisa refinamento,não,sim,sim,sim
Intelligence/Action.cshtml,bagunçada,não,não,não,sim
Intelligence/Benchmark.cshtml,precisa refinamento,sim,sim,sim,sim
Intelligence/CausalMap.cshtml,bagunçada,não,não,não,sim
Intelligence/Decisions.cshtml,bagunçada,não,não,não,sim
Intelligence/Evidence.cshtml,bagunçada,não,não,não,sim
Intelligence/Evolution.cshtml,bagunçada,não,não,não,sim
Intelligence/ExecutiveReport.cshtml,bagunçada,não,não,não,sim
Intelligence/Generate.cshtml,precisa refinamento,sim,sim,sim,sim
Intelligence/Heatmap.cshtml,precisa refinamento,sim,sim,sim,sim
Intelligence/Index.cshtml,precisa refinamento,sim,sim,sim,sim
